[None, array([98., 95., 87.], dtype=float32), array([0.22903684, 0.22847478, 0.22800031], dtype=float32), 63.68726, array(96., dtype=float32), 32.31274]
[None, array([98., 95., 87.], dtype=float32), array([0.23103486, 0.23046677, 0.22998758], dtype=float32), 64.24519, array(96., dtype=float32), 31.754807]
[None, array([98., 95., 87.], dtype=float32), array([0.23303288, 0.23245876, 0.23197484], dtype=float32), 64.80313, array(96., dtype=float32), 31.196869]
[None, array([98., 95., 87.], dtype=float32), array([0.2350309 , 0.23445074, 0.2339621 ], dtype=float32), 65.36107, array(96., dtype=float32), 30.638931]
[None, array([98., 95., 87.], dtype=float32), array([0.23702893, 0.23644273, 0.23594937], dtype=float32), 65.91901, array(96., dtype=float32), 30.080994]
[None, array([98., 95., 87.], dtype=float32), array([0.23902695, 0.23843472, 0.23793663], dtype=float32), 66.476944, array(96., dtype=float32), 29.523056]
[None, array([98., 95., 87.], dtype=float32), array([0.24102497, 0.2404267 , 0.2399239 ], dtype=float32), 67.03488, array(96., dtype=float32), 28.965118]
[None, array([98., 95., 87.], dtype=float32), array([0.243023  , 0.24241869, 0.24191116], dtype=float32), 67.59282, array(96., dtype=float32), 28.40718]
[None, array([98., 95., 87.], dtype=float32), array([0.24502102, 0.24441068, 0.24389842], dtype=float32), 68.15075, array(96., dtype=float32), 27.84925]
[None, array([98., 95., 87.], dtype=float32), array([0.24701904, 0.24640267, 0.24588569], dtype=float32), 68.70869, array(96., dtype=float32), 27.291313]
[None, array([98., 95., 87.], dtype=float32), array([0.24901706, 0.24839465, 0.24787295], dtype=float32), 69.266624, array(96., dtype=float32), 26.733376]
[None, array([98., 95., 87.], dtype=float32), array([0.25101507, 0.25038663, 0.24986021], dtype=float32), 69.82456, array(96., dtype=float32), 26.175438]
[None, array([98., 95., 87.], dtype=float32), array([0.2530131 , 0.2523786 , 0.25184748], dtype=float32), 70.3825, array(96., dtype=float32), 25.6175]
[None, array([98., 95., 87.], dtype=float32), array([0.25501114, 0.2543706 , 0.25383472], dtype=float32), 70.94044, array(96., dtype=float32), 25.059563]
[None, array([98., 95., 87.], dtype=float32), array([0.25700918, 0.2563626 , 0.25582197], dtype=float32), 71.498375, array(96., dtype=float32), 24.501625]
[None, array([98., 95., 87.], dtype=float32), array([0.25900722, 0.25835457, 0.25780922], dtype=float32), 72.056305, array(96., dtype=float32), 23.943695]
[None, array([98., 95., 87.], dtype=float32), array([0.26100525, 0.26034656, 0.25979647], dtype=float32), 72.61424, array(96., dtype=float32), 23.385757]
[None, array([98., 95., 87.], dtype=float32), array([0.2630033 , 0.26233855, 0.26178372], dtype=float32), 73.17218, array(96., dtype=float32), 22.82782]
[None, array([98., 95., 87.], dtype=float32), array([0.26500133, 0.26433054, 0.26377097], dtype=float32), 73.73012, array(96., dtype=float32), 22.269882]
[None, array([98., 95., 87.], dtype=float32), array([0.26699936, 0.26632252, 0.26575822], dtype=float32), 74.288055, array(96., dtype=float32), 21.711945]
[None, array([98., 95., 87.], dtype=float32), array([0.2689974 , 0.2683145 , 0.26774547], dtype=float32), 74.84599, array(96., dtype=float32), 21.154007]
